details,date,description,amount,type,balance,check
DEBIT,11/30/2021,U-HAULSTORAGE PERFECT BROOMFIELD CO 11/29,-34.39,DEBIT_CARD,5251.05,
DEBIT,11/30/2021,MILE HIGH ACE HARDWARE DENVER CO 11/29,-17.39,DEBIT_CARD,5285.44,
DEBIT,11/29/2021,NEXT INS. - GL WWW.NEXTINSUR CA 11/29,-121.25,DEBIT_CARD,5302.83,
DEBIT,11/29/2021,ANGI LEADS CO 11/26,-87.07,DEBIT_CARD,5424.08,
DSLIP,11/29/2021,REMOTE ONLINE DEPOSIT # 1,310,CHECK_DEPOSIT,5511.15,1
DEBIT,11/26/2021,Zelle payment to Juan,-415,CHASE_TO_PARTNERFI,5201.15,
DEBIT,11/24/2021,Zelle payment to Juan,-5000,CHASE_TO_PARTNERFI,5616.15,
DEBIT,11/23/2021,ORIG CO NAME,-3281.72,ACH_DEBIT,10616.15,
DEBIT,11/22/2021,Zelle payment to Juan,-2000,CHASE_TO_PARTNERFI,13897.87,
DEBIT,11/22/2021,MERCURY ONE NAZARENE HTTPSMERCURYO TX 11/19,-100,DEBIT_CARD,15897.87,
DEBIT,11/22/2021,SQ *SURFERS COFFEE Wahiawa HI 11/19,-5.71,DEBIT_CARD,15997.87,
DEBIT,11/22/2021,ANGI LEADS 11/19,-337.6,DEBIT_CARD,16003.58,
CREDIT,11/22/2021,ORIG CO NAME,155,ACH_CREDIT,16341.18,
CREDIT,11/22/2021,ORIG CO NAME,4129.62,ACH_CREDIT,16186.18,
DSLIP,11/22/2021,DEPOSIT ID NUMBER 855203,5540,DEPOSIT,12056.56,
DEBIT,11/19/2021,U-HAULSTORAGE PERFECT BROOMFIELD CO 11/16,-103.18,DEBIT_CARD,6516.56,
DSLIP,11/19/2021,REMOTE ONLINE DEPOSIT # 1,100,CHECK_DEPOSIT,6619.74,1
DEBIT,11/18/2021,ORIG CO NAME,-540,ACH_DEBIT,6519.74,
DEBIT,11/18/2021,MILE HIGH TREE CARE ARVADA CO 11/17,-90,DEBIT_CARD,7059.74,
DSLIP,11/18/2021,REMOTE ONLINE DEPOSIT # 1,1355,CHECK_DEPOSIT,7149.74,1
DSLIP,11/18/2021,DEPOSIT ID NUMBER 535243,3500,DEPOSIT,5794.74,
DEBIT,11/17/2021,CARD REPLACEMENT FEE,-5,FEE_TRANSACTION,2294.74,
DEBIT,11/17/2021,Zelle payment to Josiah 13039825757,-480,QUICKPAY_DEBIT,2299.74,
DEBIT,11/17/2021,MILE HIGH ACE HARDWARE DENVER CO 11/16,-18.45,DEBIT_CARD,2779.74,
DEBIT,11/16/2021,NON-CHASE ATM FEE-WITH,-2.5,FEE_TRANSACTION,2798.19,
DEBIT,11/16/2021,ATM WITHDRAWAL 001679 11/163093 W 10,-60,ATM,2800.69,
DEBIT,11/16/2021,NON-CHASE ATM WITHDRAW 631850 11/1694-380 PU,-23.95,ATM,2860.69,
DEBIT,11/16/2021,CIRCLE K # 41177 9989 ARVADA CO 11/16,-3.6,DEBIT_CARD,2884.64,
DEBIT,11/16/2021,INTUIT *QuickBooks P CL.INTUIT.COM CA 11/16,-33,DEBIT_CARD,2888.24,
DSLIP,11/16/2021,REMOTE ONLINE DEPOSIT # 1,515,CHECK_DEPOSIT,2921.24,1
CREDIT,11/16/2021,ATM CASH DEPOSIT 11/16 3093 W 104TH AVE WESTMINSTER CO,60,ATM,2406.24,
DEBIT,11/15/2021,ORIG CO NAME,-1040.45,ACH_DEBIT,2346.24,
DEBIT,11/15/2021,ORIG CO NAME,-296,ACH_DEBIT,3386.69,
DEBIT,11/15/2021,U-HAULSTORAGE PERFECT BROOMFIELD CO 11/12,-43.18,DEBIT_CARD,3682.69,
DEBIT,11/15/2021,MILE HIGH TREE CARE ARVADA CO 11/12,-55,DEBIT_CARD,3725.87,
DEBIT,11/15/2021,ANGI LEADS 833-922-2897 CO 11/12,-298.62,DEBIT_CARD,3780.87,
CREDIT,11/15/2021,ORIG CO NAME,100,ACH_CREDIT,4079.49,
CREDIT,11/15/2021,ORIG CO NAME,365,ACH_CREDIT,3979.49,
DEBIT,11/12/2021,MILE HIGH TREE CARE ARVADA CO 11/11,-55,DEBIT_CARD,3614.49,
DEBIT,11/12/2021,MILE HIGH TREE CARE ARVADA CO 11/10,-65,DEBIT_CARD,3669.49,
CREDIT,11/12/2021,ORIG CO NAME,482.4,ACH_CREDIT,3734.49,
DSLIP,11/12/2021,REMOTE ONLINE DEPOSIT # 1,430,CHECK_DEPOSIT,3252.09,1
CREDIT,11/12/2021,ATM CASH DEPOSIT 11/12 3093 W 104TH AVE WESTMINSTER CO,660,ATM,2822.09,
DEBIT,11/10/2021,S & S #721 BROOMFIELD CO 11/10,-50.01,DEBIT_CARD,2162.09,
DEBIT,11/10/2021,STORAGE PERFECT 12035 BROOMFIELD CO 157460 11/10,-60,DEBIT_CARD,2212.1,
DEBIT,11/10/2021,ORIG CO NAME,-100,ACH_DEBIT,2272.1,
DEBIT,11/10/2021,ORIG CO NAME,-2281.85,ACH_DEBIT,2372.1,
DSLIP,11/10/2021,REMOTE ONLINE DEPOSIT # 1,965,CHECK_DEPOSIT,4653.95,1
DEBIT,11/9/2021,MILE HIGH TREE CARE ARVADA CO 11/08,-75,DEBIT_CARD,3688.95,
DEBIT,11/9/2021,U-HAULSTORAGE PERFECT BROOMFIELD CO 11/08,-34.39,DEBIT_CARD,3763.95,
CREDIT,11/9/2021,ORIG CO NAME,394.37,ACH_CREDIT,3798.34,
CREDIT,11/9/2021,ORIG CO NAME,680,ACH_CREDIT,3403.97,
DEBIT,11/8/2021,U-HAULSTORAGE PERFECT BROOMFIELD CO 11/05,-43.18,DEBIT_CARD,2723.97,
DEBIT,11/8/2021,MILE HIGH TREE CARE ARVADA CO 11/05,-55,DEBIT_CARD,2767.15,
DEBIT,11/8/2021,ANGI LEADS 833-922-2897 CO 11/05,-282.48,DEBIT_CARD,2822.15,
CREDIT,11/8/2021,ORIG CO NAME,144.65,ACH_CREDIT,3104.63,
DEBIT,11/5/2021,MILE HIGH TREE CARE ARVADA CO 11/04,-65,DEBIT_CARD,2959.98,
DEBIT,11/5/2021,KICKSERV WWW.KICKSERV. TX 11/04,-99,DEBIT_CARD,3024.98,
DEBIT,11/4/2021,S & S #721 BROOMFIELD CO 11/04,-43.79,DEBIT_CARD,3123.98,
DEBIT,11/4/2021,MILE HIGH TREE CARE ARVADA CO 11/03,-55,DEBIT_CARD,3167.77,
CREDIT,11/4/2021,ORIG CO NAME,516.18,ACH_CREDIT,3222.77,
DEBIT,11/3/2021,STORAGE PERFECT 12035 BROOMFIELD CO 144120 11/03,-60,DEBIT_CARD,2706.59,
DEBIT,11/3/2021,MILE HIGH TREE CARE ARVADA CO 11/02,-75,DEBIT_CARD,2766.59,
DEBIT,11/3/2021,U-HAULSTORAGE PERFECT BROOMFIELD CO 11/01,-68.79,DEBIT_CARD,2841.59,
CREDIT,11/3/2021,ORIG CO NAME,165,ACH_CREDIT,2910.38,
CREDIT,11/3/2021,ORIG CO NAME,475,ACH_CREDIT,2745.38,
CREDIT,11/3/2021,ORIG CO NAME,700,ACH_CREDIT,2270.38,
DSLIP,11/3/2021,REMOTE ONLINE DEPOSIT # 1,415,CHECK_DEPOSIT,1570.38,1
DEBIT,11/2/2021,ORIG CO NAME,-10.8,ACH_DEBIT,1155.38,
DEBIT,11/2/2021,ORIG CO NAME,-250,ACH_DEBIT,1166.18,
DEBIT,11/2/2021,GOOGLE *SVCSfortitud g.co/HelpPay# CA 11/01,-14.79,DEBIT_CARD,1416.18,
DEBIT,11/2/2021,MILE HIGH TREE CARE ARVADA CO 11/01,-65,DEBIT_CARD,1430.97,
DEBIT,11/2/2021,GOOGLE GSUITE_fortitu 650-2530000 CA 11/01,-54,DEBIT_CARD,1495.97,
CREDIT,11/2/2021,ATM CASH DEPOSIT 11/02 3093 W 104TH AVE WESTMINSTER CO,870,ATM,1549.97,
DEBIT,11/1/2021,ORIG CO NAME,-250,ACH_DEBIT,679.97,
DEBIT,11/1/2021,ORIG CO NAME,-752,ACH_DEBIT,929.97,
DEBIT,11/1/2021,ANGI LEADS 833-922-2897 CO 10/29,-269,DEBIT_CARD,1681.97,
DEBIT,11/1/2021,U-HAULSTORAGE PERFECT BROOMFIELD CO 10/26,-103.18,DEBIT_CARD,1950.97,
CREDIT,11/1/2021,ORIG CO NAME,465,ACH_CREDIT,2054.15,
DEBIT,10/29/2021,MONTHLY SERVICE FEE,-15,FEE_TRANSACTION,1589.15,
DEBIT,10/29/2021,Online Transfer to MMA ...8707 transaction#,-500,ACCT_XFER,1604.15,
DEBIT,10/29/2021,NEXT INS. - GL WWW.NEXTINSUR CA 10/29,-121.25,DEBIT_CARD,2104.15,
DEBIT,10/29/2021,Online Transfer,-750,ACCT_XFER,2225.4,
DEBIT,10/29/2021,MILE HIGH TREE CARE ARVADA CO 10/28,-65,DEBIT_CARD,2975.4,
DEBIT,10/28/2021,ORIG CO NAME,-3121.45,ACH_DEBIT,3040.4,
DEBIT,10/28/2021,MILE HIGH TREE CARE ARVADA CO 10/27,-75,DEBIT_CARD,6161.85,
DEBIT,10/28/2021,AMZN Mktp US*9V8H014 Amzn.com/bill WA 10/28,-115.17,DEBIT_CARD,6236.85,
CREDIT,10/28/2021,ORIG CO NAME,241.15,ACH_CREDIT,6352.02,
DEBIT,10/27/2021,MILE HIGH TREE CARE ARVADA CO 10/26,-55,DEBIT_CARD,6110.87,
DSLIP,10/26/2021,REMOTE ONLINE DEPOSIT # 1,150,CHECK_DEPOSIT,6165.87,1
DEBIT,10/25/2021,VISTAPR*VistaPrint.com 866-8936743 MA 10/22,-150.93,DEBIT_CARD,6015.87,
DEBIT,10/25/2021,A1 ORGANICS-COMM.CTY COMMERCE CITY CO 10/22,-65,DEBIT_CARD,6166.8,
DEBIT,10/25/2021,ANGI LEADS 833-922-2897 CO 10/22,-332.76,DEBIT_CARD,6231.8,
CREDIT,10/25/2021,ORIG CO NAME,1525,ACH_CREDIT,6564.56,
DEBIT,10/22/2021,CIRCLE K # 41115 11195 NORTHGLENN CO 10/22,-3.19,DEBIT_CARD,5039.56,
CREDIT,10/22/2021,ORIG CO NAME,875,ACH_CREDIT,5042.75,
DSLIP,10/22/2021,REMOTE ONLINE DEPOSIT # 1,365,CHECK_DEPOSIT,4167.75,1
DSLIP,10/22/2021,REMOTE ONLINE DEPOSIT # 1,610,CHECK_DEPOSIT,3802.75,1
DEBIT,10/21/2021,MILE HIGH TREE CARE ARVADA CO 10/20,-55,DEBIT_CARD,3192.75,
DEBIT,10/21/2021,ACE HARDWARE OF THORNTO THORNTON CO 10/20,-31.42,DEBIT_CARD,3247.75,
DEBIT,10/21/2021,U-HAULCOZY CORNER TOWIN LAFAYETTE CO 10/19,-34.5,DEBIT_CARD,3279.17,
DEBIT,10/20/2021,S & S #721 BROOMFIELD CO 10/20,-10.4,DEBIT_CARD,3313.67,
DEBIT,10/20/2021,STORAGE PERFECT 12035 BROOMFIELD CO 341234 10/20,-103.18,DEBIT_CARD,3324.07,
DEBIT,10/20/2021,MILE HIGH TREE CARE ARVADA CO 10/19,-75,DEBIT_CARD,3427.25,
DEBIT,10/20/2021,MERCURY ONE INC HTTPSMERCURYO TX 10/19,-100,DEBIT_CARD,3502.25,
CREDIT,10/20/2021,ATM CASH DEPOSIT 10/20 3093 W 104TH AVE WESTMINSTER CO,775,ATM,3602.25,
DEBIT,10/19/2021,READERSMAGNET 917-7432454 CA 10/18,-250,DEBIT_CARD,2827.25,
CREDIT,10/19/2021,$300 for New Checking,300,MISC_CREDIT,3077.25,
DEBIT,10/18/2021,INTUIT *QuickBooks O CL.INTUIT.COM CA 10/16,-20.5,DEBIT_CARD,2777.25,
DEBIT,10/18/2021,MILE HIGH TREE CARE ARVADA CO 10/15,-55,DEBIT_CARD,2797.75,
DEBIT,10/18/2021,ANGI LEADS 833-922-2897 CO 10/15,-331.29,DEBIT_CARD,2852.75,
DSLIP,10/18/2021,REMOTE ONLINE DEPOSIT # 1,450,CHECK_DEPOSIT,3184.04,1
DEBIT,10/18/2021,U-HAULSTORAGE PERFECT BROOMFIELD CO 10/15,37.5,DEBIT_CARD,2734.04,
DEBIT,10/15/2021,STORAGE PERFECT 12035 BROOMFIELD CO 136945 10/15,-60,DEBIT_CARD,2696.54,
DEBIT,10/15/2021,ORIG CO NAME,-15.64,ACH_DEBIT,2756.54,
DEBIT,10/15/2021,ORIG CO NAME,-100,ACH_DEBIT,2772.18,
DEBIT,10/15/2021,ORIG CO NAME,-150.75,ACH_DEBIT,2872.18,
DEBIT,10/15/2021,ORIG CO NAME,-818.25,ACH_DEBIT,3022.93,
DEBIT,10/15/2021,ORIG CO NAME,-2310.29,ACH_DEBIT,3841.18,
DEBIT,10/15/2021,Online Transfer,-500,ACCT_XFER,6151.47,
CREDIT,10/15/2021,ORIG CO NAME,313.53,ACH_CREDIT,6651.47,
DSLIP,10/15/2021,REMOTE ONLINE DEPOSIT # 1,950,CHECK_DEPOSIT,6337.94,1
DEBIT,10/15/2021,U-HAULSTORAGE PERFECT BROOMFIELD CO 10/13,25.61,DEBIT_CARD,5387.94,
DEBIT,10/14/2021,ORIG CO NAME,-100,ACH_DEBIT,5362.33,
DEBIT,10/14/2021,MILE HIGH TREE CARE ARVADA CO 10/13,-55,DEBIT_CARD,5462.33,
CREDIT,10/14/2021,ORIG CO NAME,125,ACH_CREDIT,5517.33,
DEBIT,10/13/2021,STORAGE PERFECT 12035 BROOMFIELD CO 211618 10/13,-60,DEBIT_CARD,5392.33,
DEBIT,10/13/2021,MILE HIGH TREE CARE ARVADA CO 10/12,-65,DEBIT_CARD,5452.33,
DEBIT,10/13/2021,NOTION LABS INC HTTPSWWW.NOTI CA 10/12,-2.36,DEBIT_CARD,5517.33,
DEBIT,10/13/2021,U-HAULSTORAGE PERFECT BROOMFIELD CO 10/12,-34.39,DEBIT_CARD,5519.69,
DSLIP,10/13/2021,REMOTE ONLINE DEPOSIT # 1,500,CHECK_DEPOSIT,5554.08,1
DEBIT,10/12/2021,MILE HIGH TREE CARE ARVADA CO 10/08,-95,DEBIT_CARD,5054.08,
DEBIT,10/12/2021,ANGI LEADS 833-922-2897 CO 10/08,-93.3,DEBIT_CARD,5149.08,
CREDIT,10/12/2021,ORIG CO NAME,2941.7,ACH_CREDIT,5242.38,
DSLIP,10/12/2021,REMOTE ONLINE DEPOSIT # 1,325,CHECK_DEPOSIT,2300.68,1
DSLIP,10/12/2021,REMOTE ONLINE DEPOSIT # 1,400,CHECK_DEPOSIT,1975.68,1
DEBIT,10/12/2021,U-HAULSTORAGE PERFECT BROOMFIELD CO 10/08,25.61,DEBIT_CARD,1575.68,
DEBIT,10/8/2021,STORAGE PERFECT 12035 BROOMFIELD CO 131585 10/08,-60,DEBIT_CARD,1550.07,
CREDIT,10/8/2021,ORIG CO NAME,375,ACH_CREDIT,1610.07,
DEBIT,10/7/2021,MILE HIGH TREE CARE ARVADA CO 10/06,-65,DEBIT_CARD,1235.07,
DEBIT,10/7/2021,NAME-CHEAP.COM WWW.NAMECHEAP AZ 10/07,-9.66,DEBIT_CARD,1300.07,
DEBIT,10/7/2021,INSPIRE CHURCH 808-677-8844 HI 10/06,-41,DEBIT_CARD,1309.73,
DEBIT,10/7/2021,INSPIRE CHURCH 808-677-8844 HI 10/06,-25,DEBIT_CARD,1350.73,
DEBIT,10/7/2021,U-HAULSTORAGE PERFECT BROOMFIELD CO 10/04,-103.18,DEBIT_CARD,1375.73,
CREDIT,10/7/2021,ORIG CO NAME,525,ACH_CREDIT,1478.91,
DEBIT,10/6/2021,S & S #721 BROOMFIELD CO 10/06,-50.01,DEBIT_CARD,953.91,
DEBIT,10/6/2021,MILE HIGH TREE CARE ARVADA CO 10/05,-65,DEBIT_CARD,1003.92,
DEBIT,10/5/2021,MILE HIGH TREE CARE ARVADA CO 10/04,-55,DEBIT_CARD,1068.92,
DEBIT,10/5/2021,KICKSERV WWW.KICKSERV. TX 10/04,-49.5,DEBIT_CARD,1123.92,
CREDIT,10/5/2021,ATM CASH DEPOSIT 10/05 3093 W 104TH AVE WESTMINSTER CO,150,ATM,1173.42,
CREDIT,10/5/2021,ATM CHECK DEPOSIT 10/05 3093 W 104TH AVE WESTMINSTER CO,260,ATM_DEPOSIT,1023.42,
DEBIT,10/4/2021,ORIG CO NAME,-598.5,ACH_DEBIT,763.42,
DEBIT,10/4/2021,GOOGLE GSUITE_fortitu 650-2530000 CA 10/02,-36,DEBIT_CARD,1361.92,
DEBIT,10/4/2021,INSPIRE CHURCH 808-677-8844 HI 10/02,-178,DEBIT_CARD,1397.92,
DEBIT,10/4/2021,GOOGLE *SVCSfortitud g.co/HelpPay# CA 10/01,-11.91,DEBIT_CARD,1575.92,
CREDIT,10/4/2021,ORIG CO NAME,250,ACH_CREDIT,1587.83,
DEBIT,10/1/2021,U-HAULSTORAGE PERFECT BROOMFIELD CO 09/30,-8.79,DEBIT_CARD,1337.83,
DEBIT,10/1/2021,ANGI LEADS 833-922-2897 CO 09/30,-517.98,DEBIT_CARD,1346.62,
DEBIT,10/1/2021,MILE HIGH TREE CARE ARVADA CO 09/30,-55,DEBIT_CARD,1864.6,
DEBIT,10/1/2021,MAVERIK #544 THORNTON CO 09/30,-49.01,DEBIT_CARD,1919.6,
CREDIT,10/1/2021,Online Transfer from MMA ...8707 transaction#,200,ACCT_XFER,1968.61,
CREDIT,10/1/2021,ORIG CO NAME,600,ACH_CREDIT,1768.61,
DEBIT,9/30/2021,MONTHLY SERVICE FEE,-15,FEE_TRANSACTION,1168.61,
DEBIT,9/30/2021,MILE HIGH TREE CARE ARVADA CO 09/29,-65,DEBIT_CARD,1183.61,
CREDIT,9/30/2021,Online Transfer from MMA ...8707 transaction#,400,ACCT_XFER,1248.61,
DSLIP,9/30/2021,REMOTE ONLINE DEPOSIT # 1,250,CHECK_DEPOSIT,848.61,1
DSLIP,9/30/2021,REMOTE ONLINE DEPOSIT # 1,330,CHECK_DEPOSIT,598.61,1
DEBIT,9/29/2021,STORAGE PERFECT 12035 BROOMFIELD CO 260261 09/29,-60,DEBIT_CARD,268.61,
DEBIT,9/29/2021,NEXT INS. - GL WWW.NEXTINSUR CA 09/29,-121.25,DEBIT_CARD,328.61,
DEBIT,9/29/2021,U-HAULSTORAGE PERFECT BROOMFIELD CO 09/28,-43.04,DEBIT_CARD,449.86,
DEBIT,9/28/2021,THE HOME DEPOT #1524 BROOMFIELD CO 033341 09/28,-109.13,DEBIT_CARD,492.9,
DEBIT,9/28/2021,S & S #721 BROOMFIELD CO 09/28,-4.1,DEBIT_CARD,602.03,
DEBIT,9/27/2021,THE HOME DEPOT #1517 WESTMINSTER CO 529379 09/27,-38.69,DEBIT_CARD,606.13,
DEBIT,9/27/2021,TARGET T- 345 Hahani S Kailua HI 09/26,-65.07,DEBIT_CARD,644.82,
DEBIT,9/27/2021,KAILUA FOODLAND 108 HE KAILUA HI 456974 09/26,-211.33,DEBIT_CARD,709.89,
DEBIT,9/27/2021,ORIG CO NAME,-55,ACH_DEBIT,921.22,
DEBIT,9/27/2021,ORIG CO NAME,-290,ACH_DEBIT,976.22,
DEBIT,9/27/2021,ANGI LEADS 833-922-2897 CO 09/24,-304.36,DEBIT_CARD,1266.22,
DEBIT,9/24/2021,Online Transfer to MMA ...8707 transaction#,-500,ACCT_XFER,1570.58,
CREDIT,9/24/2021,Online Transfer from MMA ...8707 transaction#,790,ACCT_XFER,2070.58,
DEBIT,9/22/2021,ORIG CO NAME,-1,ACH_DEBIT,1280.58,
DEBIT,9/22/2021,ORIG CO NAME,-1,ACH_DEBIT,1281.58,
DEBIT,9/21/2021,CHIPOTLE 0069 FEDERAL HEIGH CO 09/20,-31.05,DEBIT_CARD,1282.58,
DEBIT,9/20/2021,INTUIT *QuickBooks P CL.INTUIT.COM CA 09/20,-20.5,DEBIT_CARD,1313.63,
DEBIT,9/20/2021,MERCURY ONE INC HTTPSMERCURYO TX 09/19,-100,DEBIT_CARD,1334.13,
DEBIT,9/20/2021,READERSMAGNET 917-7432454 CA 09/17,-359,DEBIT_CARD,1434.13,
DEBIT,9/20/2021,ANGI LEADS 833-922-2897 CO 09/17,-371.26,DEBIT_CARD,1793.13,
DEBIT,9/17/2021,COSTCO WHSE #0629 THORNTON CO 060678 09/17,-142.19,DEBIT_CARD,2164.39,
DEBIT,9/16/2021,DEPOSIT ITEM RETURNED FEE,-12,FEE_TRANSACTION,2306.58,
DEBIT,9/16/2021,ORIG CO NAME,-425,ACH_DEBIT,2318.58,
DEBIT,9/16/2021,ORIG CO NAME,-1051.88,ACH_DEBIT,2743.58,
DEBIT,9/16/2021,REACHCHURCH STRIPE.COM CO 09/15,-983.93,DEBIT_CARD,3795.46,
DEBIT,9/16/2021,DEPOSITED ITEM RETURNED Altered/Fictiti099000685 # OF ITEMS00001CK#,-5050,DEPOSIT_RETURN,4779.39,
CREDIT,9/16/2021,ORIG CO NAME,1500,ACH_CREDIT,9829.39,
CREDIT,9/15/2021,Online Transfer from MMA ...8707 transaction#,961,ACCT_XFER,8329.39,
CHECK,9/14/2021,CHECK 5484,-200,CHECK_PAID,7368.39,5484
CHECK,9/14/2021,CHECK 3699,-200,CHECK_PAID,7568.39,3699
DEBIT,9/14/2021,ORIG CO NAME,-250,ACH_DEBIT,7768.39,
CREDIT,9/14/2021,ORIG CO NAME,0.88,ACH_CREDIT,8018.39,
DEBIT,9/13/2021,COUNTER CHECK,-2,FEE_TRANSACTION,8017.51,
CHECK,9/13/2021,CHECK 5478,-200,CHECK_PAID,8019.51,5478
CHECK,9/13/2021,CHECK 3697,-1091.88,CHECK_PAID,8219.51,3697
DEBIT,9/13/2021,NOTION LABS INC HTTPSWWW.NOTI CA 09/12,-84.43,DEBIT_CARD,9311.39,
DEBIT,9/13/2021,ATM WITHDRAWAL,-400,ATM,9395.82,
DEBIT,9/13/2021,U-HAULTHORNTON SELF STG THORNTON CO 09/11,-34.49,DEBIT_CARD,9795.82,
DEBIT,9/13/2021,ANGI LEADS 833-922-2897 CO 09/10,-655.37,DEBIT_CARD,9830.31,
CREDIT,9/13/2021,ORIG CO NAME,450,ACH_CREDIT,10485.68,
CREDIT,9/13/2021,ORIG CO NAME,450,ACH_CREDIT,10035.68,
CREDIT,9/13/2021,ORIG CO NAME,550,ACH_CREDIT,9585.68,
CREDIT,9/13/2021,ORIG CO NAME,650,ACH_CREDIT,9035.68,
CREDIT,9/13/2021,ATM CHECK DEPOSIT 09/11 695 THORNTON PKWY THORNTON CO,310,ATM_DEPOSIT,8385.68,
CREDIT,9/13/2021,ATM CHECK DEPOSIT 09/13 4580 W 120TH AVE BROOMFIELD CO,5050,ATM_DEPOSIT,8075.68,
